index,time,theta,speed,el_theta,CC_q_set,CC_q_eI,CC_q_eP,CC_q_OUT,CC_d_set,CC_d_eI,CC_d_eP,CC_d_OUT,VC_set,VC_eI,VC_eP,VC_OUT,Ia,Ib,Ic,Id,Iq,vbus,SVM_Vd,SVM_Vq,SVM_theta,SVM_tA,SVM_tB,SVM_tC
0,0.0,0.7830111384391785,2.125009775161743,0.4819951057434082,1.0689945220947266,0.3959905505180359,-0.0009453535312786698,0.3950451910495758,0.0,0.022154292091727257,-0.000546447467058897,0.021607844159007072,1.9451981782913208,1.0779850482940674,-0.008990580216050148,1.0689945220947266,0.06667628884315491,0.8717527985572815,-0.9384291172027588,0.00546447467058897,1.0784480571746826,19.104394912719727,0.021607844159007072,0.3950451910495758,0.48293352127075195,2516,2559,2440
1,0.020833333333333332,0.7830111384391785,2.127314805984497,0.48230791091918945,1.0688680410385132,0.3959316611289978,-0.0004709959030151367,0.39546066522598267,0.0,0.02211260236799717,-0.000333524338202551,0.021779077127575874,1.9451558589935303,1.0779759883880615,-0.00910794734954834,1.0688680410385132,0.10177337378263474,0.8250763416290283,-0.9268497228622437,0.003335243323817849,1.0735780000686646,19.103492736816406,0.021779077127575874,0.39546066522598267,0.4832463264465332,2516,2559,2440
2,0.041666666666666664,0.7830111384391785,2.1293530464172363,0.4826202392578125,1.068756103515625,0.3958219587802887,-0.0008775711175985634,0.3949443995952606,0.0,0.02205120027065277,-0.0004912146250717342,0.021559985354542732,1.9451394081115723,1.0779668092727661,-0.009210682474076748,1.068756103515625,0.1556658297777176,0.9121636152267456,-1.0678293704986572,0.004912146367132664,1.0775318145751953,19.104005813598633,0.021559985354542732,0.3949443995952606,0.48355913162231445,2516,2559,2440
3,0.0625,0.7830111384391785,2.131155252456665,0.48293352127075195,1.0686548948287964,0.3957037031650543,-0.0009461045265197754,0.39475759863853455,0.0,0.021935157477855682,-0.0009283367544412613,0.02100682072341442,1.9451031684875488,1.0779575109481812,-0.009302604012191296,1.0686548948287964,0.16734294593334198,0.8299616575241089,-0.9973045587539673,0.009283367544412613,1.0781159400939941,19.103626251220703,0.02100682072341442,0.39475759863853455,0.4838719367980957,2515,2559,2440
4,0.08333333333333333,0.7830111384391785,2.132749080657959,0.4832463264465332,1.0685663223266602,0.39557012915611267,-0.001068544457666576,0.39450159668922424,0.0,0.021792586892843246,-0.0011405707336962223,0.02065201662480831,1.945112705230713,1.0779480934143066,-0.00938181858509779,1.0685663223266602,0.12700185179710388,0.8753713369369507,-1.002373218536377,0.011405707336962223,1.079251766204834,19.103469848632812,0.02065201662480831,0.39450159668922424,0.48418474197387695,2515,2559,2440
5,0.10416666666666667,0.7830111384391785,2.1341583728790283,0.48355913162231445,1.0684844255447388,0.39542272686958313,-0.0011793256271630526,0.39424338936805725,0.0,0.02166604809463024,-0.0010123115498572588,0.02065373584628105,1.9450743198394775,1.0779386758804321,-0.009454202838242054,1.0684844255447388,0.08964197337627411,0.8945827484130859,-0.984224796295166,0.0101231150329113,1.080277681350708,19.10249900817871,0.02065373584628105,0.39424338936805725,0.4844975471496582,2515,2558,2441
6,0.125,0.7830111384391785,2.135404586791992,0.4838719367980957,1.0684216022491455,0.3953571617603302,-0.000524628150742501,0.3948325216770172,0.0,0.02160661108791828,-0.00047549765440635383,0.021131113171577454,1.9452532529830933,1.077929139137268,-0.009507566690444946,1.0684216022491455,0.03486933931708336,0.8339568376541138,-0.8688262701034546,0.004754976369440556,1.0736678838729858,19.103363037109375,0.021131113171577454,0.3948325216770172,0.48481035232543945,2515,2559,2440
7,0.14583333333333334,0.7830111384391785,2.1365065574645996,0.48418474197387695,1.068363070487976,0.39528322219848633,-0.0005915641668252647,0.3946916460990906,0.0,0.02158549427986145,-0.00016892790154088289,0.021416567265987396,1.9453761577606201,1.077919602394104,-0.00955651979893446,1.068363070487976,0.0924963653087616,0.9156180024147034,-1.0081143379211426,0.0016892789863049984,1.074278712272644,19.104307174682617,0.021416567265987396,0.3946916460990906,0.4851231575012207,2515,2559,2440
8,0.16666666666666666,0.7830111384391785,2.1374809741973877,0.4844975471496582,1.0683056116104126,0.3952697515487671,-0.00010765791375888512,0.39516210556030273,0.0,0.02165369503200054,0.0005456091603264213,0.022199304774403572,1.9453953504562378,1.0779099464416504,-0.00960428174585104,1.0683056116104126,0.00812104158103466,0.8669024705886841,-0.8750234842300415,-0.005456091370433569,1.0693821907043457,19.105083465576172,0.022199304774403572,0.39516210556030273,0.48543596267700195,2515,2559,2440
9,0.1875,0.7834994196891785,2.1363697052001953,0.48467206954956055,1.068349003791809,0.39526718854904175,-2.0575524104060605e-05,0.39524662494659424,0.0,0.02175188809633255,0.0007855486473999918,0.022537436336278915,1.9453426599502563,1.0779004096984863,-0.009551352821290493,1.068349003791809,0.09292559325695038,0.8866453170776367,-0.9795709848403931,-0.007855486124753952,1.0685547590255737,19.104877471923828,0.022537436336278915,0.39524662494659424,0.48560285568237305,2515,2559,2440
10,0.20833333333333334,0.7834994196891785,2.1353871822357178,0.4849824905395508,1.068387746810913,0.395282119512558,0.00011934042413486168,0.3954014480113983,0.0,0.0218969639390707,0.001160600921139121,0.023057565093040466,1.9453238248825073,1.0778908729553223,-0.009503168053925037,1.068387746810913,0.04543282091617584,0.8896819353103638,-0.9351148009300232,-0.011606008745729923,1.0671943426132202,19.10493278503418,0.023057565093040466,0.3954014480113983,0.4859132766723633,2515,2559,2440
